transit_date,transit_timestamp,station_complex_id,station_complex,borough,ridership
12/31/2022,0:00:00,446,Morris Park (5),Bronx,1
12/31/2022,0:00:00,447,Flushing-Main St (7),Queens,10
12/31/2022,0:00:00,447,Flushing-Main St (7),Queens,62
12/31/2022,0:00:00,447,Flushing-Main St (7),Queens,13
12/31/2022,0:00:00,447,Flushing-Main St (7),Queens,2
12/31/2022,0:00:00,449,111 St (7),Queens,21
12/31/2022,0:00:00,447,Flushing-Main St (7),Queens,26
12/31/2022,0:00:00,447,Flushing-Main St (7),Queens,51
12/31/2022,0:00:00,448,Mets-Willets Point (7),Queens,1
12/31/2022,0:00:00,447,Flushing-Main St (7),Queens,79
12/31/2022,0:00:00,448,Mets-Willets Point (7),Queens,4
12/31/2022,0:00:00,448,Mets-Willets Point (7),Queens,1
12/31/2022,0:00:00,449,111 St (7),Queens,2
12/31/2022,0:00:00,449,111 St (7),Queens,11
12/31/2022,0:00:00,449,111 St (7),Queens,1
12/31/2022,0:00:00,449,111 St (7),Queens,2
12/31/2022,0:00:00,449,111 St (7),Queens,7
12/31/2022,0:00:00,45,Beverley Rd (Q),Brooklyn,2
12/31/2022,0:00:00,45,Beverley Rd (Q),Brooklyn,1
12/31/2022,0:00:00,45,Beverley Rd (Q),Brooklyn,2
12/31/2022,0:00:00,45,Beverley Rd (Q),Brooklyn,6
12/31/2022,0:00:00,450,103 St-Corona Plaza (7),Queens,9
12/31/2022,0:00:00,450,103 St-Corona Plaza (7),Queens,1
12/31/2022,0:00:00,450,103 St-Corona Plaza (7),Queens,5
12/31/2022,0:00:00,450,103 St-Corona Plaza (7),Queens,30
12/31/2022,0:00:00,451,Junction Blvd (7),Queens,22
12/31/2022,0:00:00,451,Junction Blvd (7),Queens,3
12/31/2022,0:00:00,450,103 St-Corona Plaza (7),Queens,31
12/31/2022,0:00:00,451,Junction Blvd (7),Queens,1
12/31/2022,0:00:00,451,Junction Blvd (7),Queens,23
12/31/2022,0:00:00,451,Junction Blvd (7),Queens,4
12/31/2022,0:00:00,452,90 St-Elmhurst Av (7),Queens,13
12/31/2022,0:00:00,451,Junction Blvd (7),Queens,26
12/31/2022,0:00:00,452,90 St-Elmhurst Av (7),Queens,1
